"Scenario","N","T","Top3","NonBottom3"
"Diagonal Sigma_C",100,250,0.03,0.46
"Diagonal Sigma_C",100,500,0.03,0.41
"Diagonal Sigma_C",100,750,0,0.38
"Diagonal Sigma_C",100,1000,0.01,0.58
"Diagonal Sigma_C",200,250,0.22,1
"Diagonal Sigma_C",200,500,0.24,0.94
"Diagonal Sigma_C",200,750,0.16,0.87
"Diagonal Sigma_C",200,1000,0.05,0.73
"Off-diagonal Sigma_C (rho = 0.5)",100,250,0.3,0.8
"Off-diagonal Sigma_C (rho = 0.5)",100,500,0.28,0.79
"Off-diagonal Sigma_C (rho = 0.5)",100,750,0.26,0.85
"Off-diagonal Sigma_C (rho = 0.5)",100,1000,0.4,0.9
"Off-diagonal Sigma_C (rho = 0.5)",200,250,0.32,0.83
"Off-diagonal Sigma_C (rho = 0.5)",200,500,0.44,0.87
"Off-diagonal Sigma_C (rho = 0.5)",200,750,0.38,0.86
"Off-diagonal Sigma_C (rho = 0.5)",200,1000,0.32,0.85
