"Dataset","Rank","q_tr","Method","MeanError"
"FRED-MD",1,"0.7","AdaWPCA",0.221
"FRED-MD",1,"0.7","PCA",0.224
"FRED-MD",1,"0.7","HeteroPCA",0.22
"FRED-MD",1,"0.8","AdaWPCA",0.193
"FRED-MD",1,"0.8","PCA",0.194
"FRED-MD",1,"0.8","HeteroPCA",0.192
"FRED-MD",1,"0.9","AdaWPCA",0.165
"FRED-MD",1,"0.9","PCA",0.165
"FRED-MD",1,"0.9","HeteroPCA",0.164
"FRED-MD",2,"0.7","AdaWPCA",0.383
"FRED-MD",2,"0.7","PCA",0.543
"FRED-MD",2,"0.7","HeteroPCA",0.544
"FRED-MD",2,"0.8","AdaWPCA",0.339
"FRED-MD",2,"0.8","PCA",0.514
"FRED-MD",2,"0.8","HeteroPCA",0.528
"FRED-MD",2,"0.9","AdaWPCA",0.311
"FRED-MD",2,"0.9","PCA",0.442
"FRED-MD",2,"0.9","HeteroPCA",0.508
"FRED-MD",3,"0.7","AdaWPCA",0.489
"FRED-MD",3,"0.7","PCA",0.751
"FRED-MD",3,"0.7","HeteroPCA",0.76
"FRED-MD",3,"0.8","AdaWPCA",0.477
"FRED-MD",3,"0.8","PCA",0.731
"FRED-MD",3,"0.8","HeteroPCA",0.748
"FRED-MD",3,"0.9","AdaWPCA",0.45
"FRED-MD",3,"0.9","PCA",0.697
"FRED-MD",3,"0.9","HeteroPCA",0.738
"FRED-QD",1,"0.7","AdaWPCA",0.461
"FRED-QD",1,"0.7","PCA",0.489
"FRED-QD",1,"0.7","HeteroPCA",0.445
"FRED-QD",1,"0.8","AdaWPCA",0.429
"FRED-QD",1,"0.8","PCA",0.448
"FRED-QD",1,"0.8","HeteroPCA",0.406
"FRED-QD",1,"0.9","AdaWPCA",0.397
"FRED-QD",1,"0.9","PCA",0.406
"FRED-QD",1,"0.9","HeteroPCA",0.368
"FRED-QD",2,"0.7","AdaWPCA",0.701
"FRED-QD",2,"0.7","PCA",0.906
"FRED-QD",2,"0.7","HeteroPCA",0.952
"FRED-QD",2,"0.8","AdaWPCA",0.658
"FRED-QD",2,"0.8","PCA",0.903
"FRED-QD",2,"0.8","HeteroPCA",0.943
"FRED-QD",2,"0.9","AdaWPCA",0.687
"FRED-QD",2,"0.9","PCA",0.898
"FRED-QD",2,"0.9","HeteroPCA",0.933
"FRED-QD",3,"0.7","AdaWPCA",0.714
"FRED-QD",3,"0.7","PCA",0.972
"FRED-QD",3,"0.7","HeteroPCA",0.981
"FRED-QD",3,"0.8","AdaWPCA",0.707
"FRED-QD",3,"0.8","PCA",0.972
"FRED-QD",3,"0.8","HeteroPCA",0.981
"FRED-QD",3,"0.9","AdaWPCA",0.742
"FRED-QD",3,"0.9","PCA",0.971
"FRED-QD",3,"0.9","HeteroPCA",0.979
